,0.747607349,0.179580346,,,0.901496707,0.551717503,0.747607349
image_index,true_positive_rate,false_positive_rate,true_negative_rate,false_negative_rate,accuracy,precision,recall
0,0.330971993,0.016798277,0.983201723,0.669028007,0.659126201,0.895675435,0.330971993
1,0.976857209,0.207629138,0.792370862,0.023142791,0.993882295,0.362971881,0.976857209
2,0.87012987,0.400622969,0.599377031,0.12987013,0.968760982,0.153397058,0.87012987
3,0.783844219,0.65630232,0.34369768,0.216155781,0.799238491,0.30458709,0.783844219
4,0.95254331,0.53211198,0.46788802,0.04745669,0.958808238,0.399930359,0.95254331
5,0.950341245,0.511931651,0.488068349,0.049658755,0.936168123,0.641533436,0.950341245
6,0.803059139,0.354511293,0.645488707,0.196940861,0.833903041,0.55456581,0.803059139
7,0.961378953,0.112312892,0.887687108,0.038621047,0.961217106,0.888553495,0.961378953
8,0.875313079,0.260505565,0.739494435,0.124686921,0.930851224,0.500311216,0.875313079
9,0.932919057,0.020786384,0.979213616,0.067080943,0.978801611,0.893075046,0.932919057
10,0.891772279,0.208741329,0.791258671,0.108227721,0.967615723,0.377437207,0.891772279
11,0.8450715,0.027708651,0.972291349,0.1549285,0.901841085,0.936763584,0.8450715
12,0.93323055,0.123416118,0.876583882,0.06676945,0.969291188,0.668848279,0.93323055
13,0.5909709,0.511241806,0.488758194,0.4090291,0.771411201,0.206598213,0.5909709
14,0.570512821,0.071137175,0.928862825,0.429487179,0.982154748,0.13755796,0.570512821
15,0.777591973,0.120513403,0.879486597,0.222408027,0.942205323,0.467101959,0.777591973
16,0.915390814,0.118587631,0.881412369,0.084609186,0.94963492,0.749395294,0.915390814
17,0.925167077,0.056518094,0.943481906,0.074832923,0.956618153,0.866710602,0.925167077
18,0.849075975,0.259263055,0.740736945,0.150924025,0.990209464,0.075559616,0.849075975
19,0.705432762,0.072850022,0.927149978,0.294567238,0.798312197,0.846624246,0.705432762
20,0.543307087,0.222128888,0.777871112,0.456692913,0.946309553,0.108981784,0.543307087
21,0.872041031,0.496511915,0.503488085,0.127958969,0.921809707,0.291908787,0.872041031
22,0.589431476,0.034171435,0.965828565,0.410568524,0.641251303,0.949919225,0.589431476
23,0.874300932,0.006525085,0.993474915,0.125699068,0.953648237,0.968722337,0.874300932
24,0.427710843,0.004794899,0.995205101,0.572289157,0.995238573,0.270992366,0.427710843
25,0.880958583,0.137357927,0.862642073,0.119041417,0.974246267,0.405078453,0.880958583
26,0.884226884,0.191925193,0.808074807,0.115773116,0.990892142,0.132819795,0.884226884
27,0.730797101,0.030233291,0.969766709,0.269202899,0.891979646,0.863195435,0.730797101
28,0.621376086,0.079840074,0.920159926,0.378623914,0.859138128,0.641782807,0.621376086
29,0.671023152,0.333181502,0.666818498,0.328976848,0.938058075,0.126264755,0.671023152
30,0.168511685,0.078112639,0.921887361,0.831488315,0.964056892,0.042839275,0.168511685
31,0.703930577,0.06180174,0.93819826,0.296069423,0.969656543,0.369705094,0.703930577
32,0.893764974,0.537772535,0.462227465,0.106235026,0.87678753,0.554106438,0.893764974
33,0.918874872,0.183715273,0.816284727,0.081125128,0.927427846,0.779547317,0.918874872
34,0.819161677,0.015630115,0.984369885,0.180838323,0.969823387,0.826835902,0.819161677
35,0.682706328,0.182740423,0.817259577,0.317293672,0.936753379,0.259419326,0.682706328
36,0.759223301,0.218013857,0.781986143,0.240776699,0.984378937,0.084285406,0.759223301
37,0.912598226,0.157583231,0.842416769,0.087401774,0.910508967,0.849264012,0.912598226
38,0.542697595,0.42157969,0.57842031,0.457302405,0.680942248,0.345701308,0.542697595
39,0.489601091,0.044621901,0.955378099,0.510398909,0.924855056,0.464724919,0.489601091
40,0.918433451,0.063177548,0.936822452,0.081566549,0.971187851,0.748320537,0.918433451
41,0.94315632,0.114611799,0.885388201,0.05684368,0.991525896,0.370882353,0.94315632
42,0.888580247,0.025408052,0.974591948,0.111419753,0.981687676,0.755048518,0.888580247
43,0.970050092,0.566912289,0.433087711,0.029949908,0.96033935,0.606721193,0.970050092
44,0.504876839,0.009896616,0.990103384,0.495123161,0.859584144,0.900884956,0.504876839
45,0.363509749,0.064047174,0.935952826,0.636490251,0.823645748,0.487622606,0.363509749
46,0.700983227,0.055360955,0.944639045,0.299016773,0.946989311,0.545086575,0.700983227
47,0.76619628,0.002874031,0.997125969,0.23380372,0.964109002,0.95751503,0.76619628
48,0.583372954,0.03248012,0.96751988,0.416627046,0.729260919,0.912752391,0.583372954
49,0.859430331,0.049067303,0.950932697,0.140569669,0.953500216,0.772488237,0.859430331
50,0.201567084,0.093030373,0.906969627,0.798432916,0.286688231,0.816977724,0.201567084
