,0.723477268,0.118071028,,,,,
image_index,true_positive_rate,false_positive_rate,true_negative_rate,false_negative_rate,accuracy,precision,recall
0,0.063344316,0,1,0.936655684,0.557298865,1,0.063344316
1,0.971997223,0.043302783,0.956697217,0.028002777,0.993726669,0.731070496,0.971997223
2,0.832792208,0.304902492,0.695097508,0.167207792,0.964795953,0.185573723,0.832792208
3,0.748718904,0.461167868,0.538832132,0.251281096,0.815273973,0.373194631,0.748718904
4,0.922318467,0.465658021,0.534341979,0.077681533,0.938173817,0.42443389,0.922318467
5,0.970255679,0.49558087,0.50441913,0.029744321,0.961693615,0.653673266,0.970255679
6,0.735180094,0.053190253,0.946809747,0.264819906,0.822716119,0.883673642,0.735180094
7,0.948159668,0.083775954,0.916224046,0.051840332,0.949064052,0.913358302,0.948159668
8,0.794838288,0.218840251,0.781159749,0.205161712,0.89277177,0.519760735,0.794838288
9,0.932919057,0.019985767,0.980014233,0.067080943,0.978816011,0.896768265,0.932919057
10,0.857976262,0.135259357,0.864740643,0.142023738,0.960742883,0.473730979,0.857976262
11,0.882465397,0.026668648,0.973331352,0.117534603,0.924691933,0.941426008,0.882465397
12,0.935839658,0.099214394,0.900785606,0.064160342,0.971076479,0.715866824,0.935839658
13,0.546777264,0.079489065,0.920510935,0.453222736,0.836368992,0.607769045,0.546777264
14,0.557692308,0.016267211,0.983732789,0.442307692,0.982622711,0.405405405,0.557692308
15,0.751463211,0.052788505,0.947211495,0.248536789,0.939537249,0.659149248,0.751463211
16,0.918882622,0.109257397,0.890742603,0.081117378,0.952007628,0.76515321,0.918882622
17,0.941083363,0.009501188,0.990498812,0.058916637,0.966830041,0.975214143,0.941083363
18,0.950718686,0.17513965,0.82486035,0.049281314,0.997109566,0.119314521,0.950718686
19,0.596708669,0.044196726,0.955803274,0.403291331,0.738123449,0.88500817,0.596708669
20,0.492388451,0.052342827,0.947657173,0.507611549,0.950375901,0.319918145,0.492388451
21,0.869542346,0.481510063,0.518489937,0.130457654,0.921868231,0.297690334,0.869542346
22,0.487469569,0.022675975,0.977324025,0.512530431,0.573123944,0.959413754,0.487469569
23,0.859121172,0.005047707,0.994952293,0.140878828,0.948256468,0.975211608,0.859121172
24,0.427710843,0.001154792,0.998845208,0.572289157,0.995255812,0.606837607,0.427710843
25,0.77546236,0.082270955,0.917729045,0.22453764,0.954496265,0.500168011,0.77546236
26,0.923853924,0.206416449,0.793583551,0.076146076,0.993895412,0.129520697,0.923853924
27,0.69468599,0.022761665,0.977238335,0.30531401,0.879060422,0.888476985,0.69468599
28,0.514094856,0.016392434,0.983607566,0.485905144,0.83124536,0.878338279,0.514094856
29,0.807318895,0.253898505,0.746101495,0.192681105,0.966752577,0.185770751,0.807318895
30,0,0,1,1,0.960159753,0,0
31,0.73251659,0.038984254,0.961015746,0.26748341,0.973156425,0.491775188,0.73251659
32,0.577747911,0.312011185,0.687988815,0.422252089,0.639466134,0.5806319,0.577747911
33,0.928653347,0.1298596,0.8701404,0.071346653,0.938016204,0.834870849,0.928653347
34,0.804191617,0.008865248,0.991134752,0.195808383,0.967566763,0.892062438,0.804191617
35,0.921843103,0.078614203,0.921385797,0.078156897,0.985665766,0.523691186,0.921843103
36,0.773786408,0.150756993,0.849243007,0.226213592,0.986436929,0.119454436,0.773786408
37,0.769987326,0.077780518,0.922219482,0.230012674,0.788780261,0.905934984,0.769987326
38,0.558075601,0.289245416,0.710754584,0.441924399,0.721501854,0.441934825,0.558075601
39,0.568019093,0.042760407,0.957239593,0.431980907,0.936142332,0.512457705,0.568019093
40,0.916077739,0.068387136,0.931612864,0.083922261,0.97023421,0.73260332,0.916077739
41,0.954375467,0.089347908,0.910652092,0.045624533,0.993367222,0.433497537,0.954375467
42,0.922222222,0.019151251,0.980848749,0.077777778,0.987255993,0.809317443,0.922222222
43,0.976430266,0.433182791,0.566817209,0.023569734,0.971469603,0.670213536,0.976430266
44,0.5483551,0.010397337,0.989602663,0.4516449,0.871068218,0.903814714,0.5483551
45,0.330083565,0.059434844,0.940565156,0.669916435,0.815938008,0.482197355,0.330083565
46,0.656737999,0.031032784,0.968967216,0.343262001,0.940728535,0.666960352,0.656737999
47,0.765875561,0.002874031,0.997125969,0.234124439,0.964060654,0.957497995,0.765875561
48,0.438361747,0.023499624,0.976500376,0.561638253,0.653109596,0.915720772,0.438361747
49,0.903002309,0.051902701,0.948097299,0.096997691,0.967601759,0.771304577,0.903002309
50,0.139217943,0.064876444,0.935123556,0.860782057,0.256240775,0.815531869,0.139217943
